year,Private_nonresidential_fixed_assets,Equipment,Structures,Intellectual_property_products,Farms,Manufacturing,Nonfarm_nonmanufacturing,Corporate,Financial,Nonfinancial,Noncorporate,Sole_proprietorships,Partnerships,Nonprofit_institutions,Households,Tax-exempt_cooperatives
1925,126.5,0.0,0.0,0.0,9.9,1.0,17.0,98.6,3.1,95.5,27.9,14.5,7.8,5.5,0.1,0.0
1926,131.0,0.0,0.0,0.0,10.0,1.0,18.5,101.5,3.2,98.2,29.5,15.2,8.3,5.9,0.1,0.0
1927,133.7,0.0,0.0,0.0,10.1,1.0,19.6,102.9,3.3,99.6,30.8,15.7,8.6,6.3,0.1,0.0
1928,137.3,0.0,0.0,0.0,10.2,1.1,20.9,105.2,3.4,101.8,32.2,16.3,9.0,6.8,0.2,0.0
1929,136.6,0.0,0.0,0.0,10.0,1.0,21.4,104.2,3.5,100.7,32.4,16.3,9.1,6.9,0.2,0.0
1930,129.8,0.0,0.0,0.0,9.1,1.0,20.5,99.3,3.5,95.8,30.6,15.2,8.6,6.6,0.2,0.0
1931,115.9,0.0,0.0,0.0,7.9,0.8,17.8,89.4,3.0,86.4,26.6,13.3,7.5,5.7,0.1,0.0
1932,107.4,0.0,0.0,0.0,7.0,0.8,16.1,83.5,2.7,80.8,23.9,11.8,6.7,5.2,0.1,0.0
1933,109.0,0.0,0.0,0.0,7.4,0.8,16.6,84.2,2.9,81.3,24.8,12.1,7.0,5.5,0.1,0.0
1934,110.3,0.0,0.0,0.0,7.4,0.9,16.7,85.4,2.9,82.5,24.9,12.1,7.1,5.6,0.1,0.0
1935,110.0,0.0,0.0,0.0,7.3,0.9,16.9,84.9,2.9,82.0,25.1,12.0,7.1,5.7,0.1,0.1
1936,121.0,0.1,0.0,0.0,7.6,1.0,19.0,93.4,3.1,90.3,27.6,12.9,7.7,6.7,0.2,0.1
1937,126.2,0.1,0.1,0.0,8.0,1.0,20.4,96.8,3.4,93.4,29.4,13.7,8.2,7.0,0.2,0.2
1938,124.9,0.1,0.1,0.0,7.8,1.0,20.4,95.6,3.3,92.3,29.2,13.5,8.2,7.1,0.2,0.3
1939,125.2,0.2,0.2,0.0,7.3,1.0,20.6,96.3,3.2,93.1,28.9,13.2,8.1,7.1,0.2,0.3
1940,133.3,0.2,0.2,0.0,7.5,1.2,22.2,102.3,3.7,98.7,30.9,14.0,8.7,7.6,0.2,0.4
1941,150.6,0.3,0.3,0.0,9.1,1.4,25.2,114.9,4.4,110.5,35.6,16.3,10.0,8.6,0.2,0.6
1942,160.2,0.3,0.3,0.0,10.3,1.5,26.2,122.2,4.2,118.0,38.0,17.3,10.6,9.2,0.2,0.6
1943,163.0,0.3,0.4,0.0,11.2,1.5,27.2,123.1,4.4,118.7,39.9,18.3,11.1,9.6,0.2,0.6
1944,164.9,0.3,0.4,0.0,11.7,1.5,27.2,124.4,4.4,120.1,40.5,18.7,11.3,9.6,0.2,0.7
1945,179.8,0.3,0.4,0.0,12.9,1.7,29.4,135.8,4.4,131.4,44.0,20.3,12.3,10.4,0.2,0.8
1946,220.5,0.5,0.6,0.0,15.8,2.1,38.5,164.2,5.6,158.6,56.4,25.5,15.4,14.1,0.3,1.0
1947,265.2,0.6,0.8,0.0,19.5,2.6,47.3,195.8,6.7,189.2,69.4,31.6,18.8,17.2,0.4,1.4
1948,291.0,0.8,1.0,0.0,22.1,2.9,51.5,214.5,7.2,207.3,76.5,35.5,20.8,18.0,0.4,1.8
1949,296.2,0.8,1.1,0.0,23.1,2.9,51.7,218.6,6.6,211.9,77.6,36.3,21.0,18.0,0.4,2.0
1950,335.4,1.0,1.4,0.0,26.8,3.2,60.1,245.2,7.4,237.8,90.1,42.1,24.1,21.1,0.5,2.4
1951,365.7,1.1,1.6,0.0,29.3,3.5,66.6,266.4,8.6,257.8,99.3,46.1,26.5,23.6,0.5,2.7
1952,385.8,1.2,1.7,0.0,30.7,3.5,69.2,282.4,9.0,273.4,103.4,47.8,27.3,24.9,0.5,3.0
1953,403.2,1.3,1.9,0.0,31.0,3.6,71.3,297.3,9.2,288.1,105.9,48.8,28.0,25.5,0.6,3.2
1954,414.5,1.3,2.1,0.0,30.9,3.6,73.2,306.6,9.2,297.5,107.8,49.0,28.3,26.6,0.6,3.4
1955,456.6,1.4,2.3,0.0,33.1,4.0,81.6,337.8,10.3,327.5,118.7,53.3,31.0,29.9,0.7,3.8
1956,505.0,1.6,2.6,0.0,34.4,4.4,90.4,375.8,11.9,363.9,129.2,57.3,33.7,33.3,0.8,4.3
1957,540.1,1.7,2.8,0.0,35.4,4.7,96.0,404.1,12.7,391.4,136.1,59.7,35.2,35.8,0.8,4.6
1958,550.9,1.7,3.0,0.0,35.0,4.7,98.3,412.9,13.1,399.8,138.0,60.1,35.5,36.8,0.8,4.7
1959,573.5,1.7,3.2,0.0,35.7,4.8,102.7,430.2,13.7,416.5,143.3,61.8,36.8,38.8,0.9,4.9
1960,586.4,1.8,3.2,0.0,36.0,4.9,105.6,439.9,14.3,425.6,146.5,62.5,37.5,40.6,0.9,5.1
1961,603.9,1.8,3.3,0.0,36.6,4.9,110.6,451.8,15.1,436.6,152.1,63.8,38.6,43.6,0.9,5.2
1962,626.3,1.9,3.5,0.0,37.7,5.0,116.8,466.8,16.2,450.6,159.5,65.9,40.2,47.1,1.0,5.4
1963,650.2,1.9,3.7,0.0,39.2,5.1,123.1,482.8,17.2,465.6,167.3,68.4,41.9,50.4,1.0,5.6
1964,688.9,2.0,3.9,0.0,41.2,5.2,132.6,509.8,19.1,490.7,179.1,72.1,44.7,55.2,1.1,5.9
1965,738.4,2.0,4.1,0.0,43.7,5.4,143.3,546.0,21.0,525.0,192.4,76.6,48.1,60.4,1.2,6.2
1966,803.8,2.2,4.3,0.0,46.9,5.6,156.6,594.7,23.3,571.4,209.1,82.3,52.4,66.6,1.3,6.5
1967,870.7,2.3,4.8,0.0,49.9,5.8,168.7,646.4,25.7,620.7,224.3,87.2,56.2,72.2,1.5,7.2
1968,957.4,2.5,5.2,0.1,53.4,6.0,185.4,712.6,29.7,682.9,244.8,93.9,61.0,80.5,1.6,7.8
1969,1055.3,2.7,5.7,0.1,57.2,6.4,204.8,786.9,34.0,752.9,268.4,101.6,66.8,89.7,1.9,8.4
1970,1161.1,2.9,6.4,0.1,61.8,6.7,226.1,866.5,38.1,828.3,294.6,110.1,73.2,99.8,2.1,9.4
1971,1274.6,3.1,7.2,0.1,67.1,7.1,252.3,948.1,43.6,904.5,326.5,119.9,80.6,113.2,2.4,10.4
1972,1385.1,3.3,7.8,0.1,71.5,7.5,278.0,1028.1,49.1,979.0,357.0,128.9,87.4,126.9,2.6,11.2
1973,1560.1,3.5,9.2,0.1,80.1,8.1,312.1,1159.7,57.0,1102.7,400.3,143.6,97.8,143.1,2.9,12.8
1974,1893.4,4.2,11.2,0.1,97.1,9.5,368.7,1418.2,71.4,1346.8,475.2,171.2,116.1,169.1,3.4,15.5
1975,2083.1,5.1,12.7,0.1,106.9,10.3,393.3,1572.5,80.6,1491.9,510.6,185.1,124.6,179.5,3.5,17.9
1976,2279.9,5.8,14.2,0.1,117.7,11.0,422.8,1728.4,90.7,1637.7,551.5,200.7,134.1,192.9,3.7,20.1
1977,2532.4,6.7,15.6,0.1,131.5,12.0,467.2,1921.7,103.3,1818.4,610.7,222.9,148.0,213.5,3.9,22.4
1978,2869.9,7.1,17.3,0.1,148.4,13.9,525.4,2182.1,120.6,2061.6,687.7,253.2,167.4,238.5,4.2,24.6
1979,3313.6,8.2,20.0,0.2,173.0,16.3,606.2,2518.2,145.2,2373.0,795.4,293.9,196.3,271.8,5.0,28.4
1980,3799.9,9.4,22.2,0.2,193.2,18.6,693.7,2894.3,173.9,2720.5,905.6,333.6,228.2,306.2,5.9,31.8
1981,4299.9,10.0,24.1,0.2,211.0,20.5,789.0,3279.3,203.2,3076.2,1020.5,377.8,267.3,334.2,6.9,34.4
1982,4588.8,10.1,25.1,0.2,217.8,21.6,851.2,3498.1,229.8,3268.3,1090.7,399.0,291.7,356.7,7.9,35.4
1983,4744.4,9.9,25.4,0.2,218.4,22.3,889.5,3614.3,252.9,3361.4,1130.1,406.2,303.9,375.8,8.7,35.5
1984,5040.7,9.7,25.7,0.2,220.1,23.3,955.6,3841.8,285.3,3556.5,1198.9,424.0,330.2,399.1,10.0,35.7
1985,5332.1,10.8,26.6,0.3,217.6,24.5,1026.1,4063.8,322.0,3741.8,1268.2,439.3,360.5,419.1,11.7,37.6
1986,5603.4,11.4,27.1,0.3,217.8,25.7,1099.5,4260.4,365.3,3895.1,1343.0,455.9,389.3,445.6,13.4,38.9
1987,5918.7,11.6,28.1,0.4,217.1,26.9,1181.2,4493.6,406.3,4087.3,1425.2,474.1,421.2,475.1,14.9,40.0
1988,6310.7,11.9,29.6,0.4,220.3,28.2,1273.3,4788.9,452.6,4336.3,1521.8,498.8,458.5,506.0,16.6,41.9
1989,6699.1,12.5,30.6,0.4,224.7,29.5,1360.3,5084.5,502.5,4582.0,1614.5,520.6,493.0,539.2,18.3,43.6
1990,7070.0,13.1,31.2,0.6,228.8,30.7,1426.2,5384.3,547.3,4837.0,1685.8,536.3,514.6,570.2,19.9,44.9
1991,7240.3,13.2,31.7,0.7,228.1,31.3,1452.2,5528.7,569.4,4959.3,1711.5,536.9,518.3,590.3,20.5,45.6
1992,7485.7,13.5,32.4,0.8,227.3,32.2,1496.1,5730.1,595.2,5134.8,1755.6,543.2,524.9,620.1,20.8,46.7
1993,7836.6,13.9,33.8,0.9,231.3,33.7,1559.4,6012.2,628.9,5383.3,1824.4,559.6,542.2,652.4,21.5,48.6
1994,8269.5,14.3,35.0,1.0,238.3,36.3,1639.6,6355.2,671.5,5683.7,1914.2,583.7,565.7,692.0,22.6,50.3
1995,8717.6,14.8,36.4,1.1,243.3,39.6,1703.6,6731.0,704.4,6026.6,1986.6,604.0,587.1,719.9,23.4,52.3
1996,9143.6,15.1,37.2,1.1,248.1,43.3,1767.9,7084.3,740.1,6344.2,2059.3,622.3,608.6,750.6,24.4,53.4
1997,9664.1,15.4,38.6,1.2,256.0,47.6,1861.5,7499.1,783.4,6715.7,2165.1,647.4,638.3,798.4,25.8,55.2
1998,10213.0,15.7,39.5,1.2,263.5,54.1,1977.5,7917.8,847.2,7070.6,2295.2,673.5,678.8,858.7,27.8,56.4
1999,10833.0,16.5,41.1,1.3,266.7,62.3,2108.9,8395.0,919.3,7475.7,2437.9,696.3,729.0,923.6,30.1,58.9
2000,11588.0,17.9,44.3,1.4,271.2,72.4,2261.2,8983.2,985.5,7997.6,2604.8,721.2,791.9,995.9,32.2,63.6
2001,12163.2,19.4,47.7,1.4,275.4,82.7,2395.8,9409.2,1027.9,8381.3,2754.0,738.1,849.7,1063.8,33.9,68.5
2002,12603.0,20.9,50.2,1.4,277.9,92.5,2521.2,9711.3,1068.0,8643.3,2891.7,750.3,903.3,1129.3,36.3,72.5
2003,13052.3,22.4,52.9,1.3,283.8,101.3,2648.2,10019.1,1102.9,8916.2,3033.2,765.1,951.7,1202.4,37.4,76.6
2004,14158.6,24.2,57.8,1.3,301.8,112.1,2909.7,10834.9,1203.0,9631.9,3323.7,819.7,1050.3,1329.1,41.3,83.4
2005,15461.0,26.5,62.0,1.4,321.3,125.0,3211.3,11803.4,1303.4,10500.1,3657.5,886.6,1168.4,1467.4,45.2,89.9
2006,16729.9,30.1,68.0,1.4,336.4,137.3,3516.9,12739.3,1398.3,11341.0,3990.6,944.3,1287.8,1609.2,49.7,99.5
2007,17667.0,33.9,75.0,1.4,344.3,150.8,3738.7,13433.2,1474.2,11959.0,4233.8,976.5,1381.5,1711.7,53.7,110.4
2008,18748.7,37.8,82.4,1.4,352.5,161.8,3977.3,14257.1,1552.2,12704.9,4491.6,1007.3,1491.5,1812.7,58.6,121.5
2009,18151.4,39.7,82.3,1.5,338.8,161.9,3866.6,13784.2,1492.3,12291.9,4367.2,954.1,1457.1,1776.1,56.5,123.4
2010,18561.6,42.2,89.7,1.5,338.7,166.2,3929.6,14127.1,1483.8,12643.3,4434.5,949.7,1493.5,1801.1,56.7,133.4
2011,19287.1,45.6,97.1,1.5,347.2,173.9,4067.1,14698.8,1521.9,13176.9,4588.2,965.9,1554.5,1865.4,58.2,144.1
2012,19920.5,48.3,103.6,1.5,364.4,180.5,4187.7,15187.9,1554.3,13633.6,4732.6,986.8,1615.4,1917.6,59.4,153.3
2013,20715.8,50.4,108.2,1.6,389.5,189.8,4364.6,15771.9,1608.9,14163.0,4943.9,1020.3,1695.1,2006.6,61.8,160.1
2014,21463.5,52.5,114.0,1.6,410.1,198.9,4519.0,16335.4,1666.2,14669.3,5128.0,1048.3,1770.4,2077.1,64.1,168.1
